assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
511283,13013,Megupsilon aporus,Extinct,,2019,2018-09-12 00:00:00 UTC,3.1,English,"<p><em>Megupsilon aporus</em> was once restricted to the Potosi Spring northwest of Galeana in Nuevo Leon, Mexico. This species is now considered Extinct (EX) as a result of total habitat loss, and has not been recorded at this locality since 1994. There are no known captive populations. The last remaining captive population was lost in 2012. </p>","<p>Historical habitat included clear springs and spring-fed ditches in the presence of dense aquatic macrophytes over clay, mud, firm limestone and sandy substrates (Miller <em>et al</em>. 2005). Water temperature fluctuated annually from 16.5-23 <sup>o</sup>C. Potosi springs was at 1880 m elevation (Miller <em>et al.</em> 2005). </p>","<p>Major threats that led to the extirpation of <em>M. aporus </em>in the wild include a near total loss of habitat resulting from groundwater extraction, and the impacts of predatory and competitive introduced species (Contreras-Balderas and Lozano-Vilano 1996, Miller <em>et al</em>. 2005). </p>","<p><em>Megupsilon aporus</em> has not been recorded in the wild since 1994 (Burkhead 2012, Lozano-Vilano and Maza-Benignos 2017, Valdés González <em>et al</em>. 2018). Surveys have been conducted in nearby springs, but it has not been recorded. <br/></p>",,"<p><em>Megupsilon aporus</em> was once restricted to the Potosi Spring northwest of Galeana in Nuevo Leon, Mexico. This species was considered Extinct in the Wild (EW) as a result of total habitat loss, and has not been recorded at this locality since 1994 (Valdés González <em>et al</em>. 2018). However, there are no known captive populations, as the last remaining captive population was lost in 2012 (Lozano-Vilano and Maza-Benignos 2017, A. Eschelle pers. comm. 2018, C. Martin pers. comm. 2018). </p>",There is no information about the past use and trade of this species.,Freshwater (=Inland waters),"<p>The last remaining captive population of <em>M. aporus</em> was lost in 2012 (Lozano-Vilano and Maza-Benignos 2017, Valdés González <em>et al</em>. 2018).&#160; Genetic tissue has been preserved for this species (A. Valdes pers. comm. 2018).<strong><br/></strong></p>",Nearctic,1994,false,false,Global
546437,14881,Notropis amecae,Extinct in the Wild,,2019,2018-12-05 00:00:00 UTC,3.1,English,"This species is endemic to the upper Río Ameca in Jalisco, Mexico. The species was considered extinct in 2000, but was later found in 2005 and 2008. In 2014, intensive surveys during ten months in the entire range of its distribution, and using different sampling techniques, did not find the species. In 2016, 40 individuals were reintroduced in its native range. Recent surveys have recorded the species there, but it is unclear if the population is viable. Based on this, the species is considered Extinct in the Wild. If the introduced population proves to be viable in the next few years, a reassessment should be conducted and a change in category may be considered.","<p>The species used to occur above 1,300 m Asl, in the channel of Río Ameca and two tributaries, one fed by warm springs with much vegetation (including water hyacinth, green algae, <em>Ceratophyllum</em>, and <em>Potamogeton</em>), in slight, moderate or swift current, over sand, rock, and silt, at depths up to about 1 m (Miller <em>et al</em>. 2005). The Teuchitlán River (tributary fed by springs) has an average width of 6 m, with a bottom of silt, sand, gravel, rocks and boulders (Chernoff and Miller 1986).<br/><br/>Spawning probably occurs from early spring to late summer, as suggested by mature adults and appearance of young.<strong>&#160;</strong>A single mature female examined contained 272 eggs (Miller <em>et al</em>. 2005, Soto-Galera and Alcántara-Soria 2007).&#160;</p><p></p>","The Teuchitlán River has been subject to destruction and modification resulting from the extraction of water for human consumption (Miller and Fitzsimons 1971, Williams&#160;<em>et al.</em> 1989). The river receives domestic drainage, effluents from runoff from agricultural fields of sugar and tequila agave that are subject to frequent applications of pesticides (López-López&#160;<em>et al</em>. 2003). In addition, the Ameca River basin is classified as strongly contaminated (Vázquez-Gutiérrez 1994).&#160;The exact cause of the population decline is not known but may be related to habitat loss from ground water depletion (López-López and Paulo Maya 2001). There are six introduced species in the Teuchitlán River that may be affecting this species (O. Domínguez Domínguez pers. comm. 2018). Introduced species represent 90% of total biomass and abundance of the species collected in the river (O. Domínguez Domínguez pers. comm. 2018).","<p></p><p></p><p>Historically, this species was never common. Of 2,895 fishes collected in the upper Ameca river basin between 1939 and 1969, only 46 were <em>N. amecae </em>(Chernoff and Miller 1986).<em>&#160;</em>Before 1996 it was considered an extinct species (Hilton-Taylor, 2000). Later, it was reported by López-López and Paulo-Maya (2001)&#160;and in 2008 by J. Lyons and P. Gesundheit-Montero (UWZM 12145). <br/><br/>In 2014, the entire distribution of the species was surveyed with appropriate methods during ten months (one week each time), and no individuals were collected. In 2016, 40 individuals of this species were re-introduced in Balneario El Rincon (O. Domínguez Domínguez pers. comm. 2018). These individuals come from a captive population of six individuals collected in 2005. The species is still apparently present there, but its population size and trend is not known (O. Domínguez Domínguez pers. comm. 2018).</p>",,"<p>This species is endemic to Mexico, where it used to occur in the upper part of Río Ameca-Magdalena basin, Jalisco (Miller&#160;<em>et al.&#160;</em>2005). </p>",This species is not used or traded.,Freshwater (=Inland waters),"It is currently considered a taxon endangered by the American Fisheries Society (Jelks <em>et al.</em>&#160;2008). It is considered extinct under Mexican law NOM-059-SEMARNAT-2010. In 2016, the species was re-introduced in Balneario El Rincon, but its population is currently not being monitored (O. Domínguez Domínguez pers. comm. 2018). Research is needed to determine the success and viability of the re-introduced population. The species is also being bred in captivity (O. Domínguez Domínguez pers. comm. 2018). Control of introduced species and education and awareness programs of local communities have also been implemented (O. Domínguez Domínguez pers. comm. 2018). The Teuchitlán River is a Ramsar site.",Neotropical,2008,false,false,Global
546490,14882,Notropis aulidion,Extinct,,2019,2018-12-06 00:00:00 UTC,3.1,English,"<p><em>Notropis aulidion</em> was historically known only from a long, narrow reservoir of the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico. Despite extensive sampling attempts, this species was last recorded in 1961 and is now widely regarded as Extinct. </p>","<p>The historical habitat of this species was restricted to a single narrow reservoir at an elevation of 1865 m Asl, with minimal vegetation, a muddy substrate, low velocity flow and a water depth of 1 m (Miller <em>et al</em>. 1989, 2005). </p>","The extirpation of this species likely resulted from reduced streamflow, municipal and industrial pollution, and the effects of introduced nonnative species (e.g.&#160;<em>Micropterus salmoides</em>) following marked increases in the population and development of Durango City (Miller <em>et al</em>. 1989).",The historical population size of this species is unknown. It has not been reported since 1961 (Miller <em>et al</em>. 1989). Many surveys in the species' historical range and nearby areas have not reported the species.,,"<p><em>Notropis aulidion</em> was historically restricted to the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico (Chernoff and Miller 1986, Miller <em>et al</em>. 1989, Miller <em>et al.&#160;</em>2005). It was known from only two collections in a small reservoir (Miller <em>et al</em>. 2005). It was last recorded in 1961 despite multiple subsequent sampling attempts, and is now widely regarded as extinct (Miller <em>et al</em>. 2005, Jelks <em>et al</em>. 2008, Bennett and Conway 2010, Burkhead 2012). </p>",The historical use and trade of this species is unknown.,Freshwater (=Inland waters),There are no species-specific conservation measures in place for <em>N. aulidion</em> as it is considered extinct.,Nearctic,1961,false,false,Global
1737167,18338,Prolagus sardus,Extinct,,2019,2018-06-01 00:00:00 UTC,3.1,English,"This species is extinct. Fossil remains indicate that it went extinct within the last 2,000 years, and historical reports suggest that it may have survived into the late 1700s or even later (Novak 1999).",There is an indication that this was a burrowing form of pika (Nowak 1999).,"Over-hunting for food, and predation and competition from introduced mammals, may have contributed to its demise (Nowak 1999).","There is anecdotal information that the Sardinian Pika may have been a  burrowing form of pika that was capable of reaching a high density  (Nowak 1999). Some believe that a small population persisted in the  central mountains of Sardinia until relatively recently, but there is no  evidence to support this (G. Amori pers. comm. 2006).",,"The Sardinian Pika was part of an anagenetic lineage (including <em>Prolagus  figaro</em>) that occupied Mediterranean islands since the earliest Late  Pliocene to the Holocene. Within this lineage, the Sardinian Pika  gradually increased in body mass to an estimated 504-525 g  (Moncunill-Soll <em>et al.</em> 2016). Contemporary fossil evidence of the  Sardinian Pika has been found on Corsica (France), Sardinia (Italy),  and adjacent small Mediterranean islands (Angelone <em>et al.</em> 2008,  Angelone and Cermak 2015). Skeletal remains indicate that it was still  present on Corsica and Sardinia within the last 2,000 years, and F.  Cetti's 1774 report of ""giant rats whose burrows are so abundant that  one might think the surface of the soil has been turned over by pigs"" on  the islet of Tavolara may refer to this species (Nowak 1999). It is  thus possible that the species survived until the late 1700s or even  later, although this has not been conclusively proven. The Sardinian  Pika is also known from earlier fossil material found on the mainland of  Italy (Nowak 1999).",,Terrestrial,,Palearctic,1700,false,false,"Global, Europe & Mediterranean"
1998432,191696,Allotoca goslinei,Extinct in the Wild,,2019,2018-03-07 00:00:00 UTC,3.1,English,"Given the fact, that <em>Allotoca goslinei&#160;</em>was the dominant fish (ca. 75% proportional abundance) at the last known location of the study by Helmus <em>et al. </em>(2009), and then decreased in numbers since about the year 2000, to a few individuals in 2004, and zero when the habitat was extensively sampled in 2005–2006, it can be inferred that the species has disappeared completely from the wild. <br/><br/>With no known location and no known wild population, but several captive populations in Europe, Mexico and the United States, the Banded Allotoca is assessed Extinct in the Wild.","Here is the habitat description from Smith and Miller (1987), slightly modified by Köck in 2018: ""At the type locality, the Río Potrero Grande flows through a steep-walled, twisting canyon of high gradient that is well shaded by willows (<em>Salix</em> spp.) and the canyon walls. The species was taken only from a quiet pool of clear to murky water, that was about 23 m long and 3.2-3.8 m wide, up to 1.2 m deep at the steeply shelving south bank and with a substrate of sand, silt, rocks and boulders. Filamentous algae were abundant, and there were small patches of floating vascular plants. In the dry season the current was slight to nil. This was the terminal pool before the creek emerged from the canyon and dropped precipitously to the Río Ameca. <em>Allotoca goslinei </em>was found primarily in shallow water (15-26 cm) underneath floating plants (water hyacinth, algae, and a <em>Nasturtium</em>-like plant) along the gradually sloping north side of the pool. The largest series came from beneath a single patch of floating plants about 3 m long and extending no more than 1 m into the pool. The water temperature during three visits were 16.4-20 °C from mid-day to late afternoon, mid February to early March. Other fishes taken in the same pool were a Catostomid, <em>Moxostoma mascotae</em> (now: <em>Moxostoma austrinum</em>), a Goodeid, <em>Allodontichthys</em> n. sp. (now: <em>Allodontichthys polylepis</em>) and a Poeciliid, <em>Poeciliopsis infans</em>. <em>Rana</em> sp. was also captured, including tagpoles and adults."" Wischnath (1993) additionally mentioned <em>Ilyodon furcidens</em> being a co-inhabitant. Based on the diet of related species, the Banded Allotoca was most likely feeding on small arthropods in the wild (Domínguez-Domínguez <em>et al.</em>&#160;2002, Doadrio and Domínguez-Domínguez 2004, Webb <em>et al.</em>&#160;2004). <br/><br/>Schindler reported to Hieronimus  (Hieronimus 1995), that on his visit of the type location in 1988, the water looked very polluted and reminded him more on a sewer than on a pool. The water was turbid, with little visibility, and the fish were caught only incidentally, but all species mentioned by Smith and Miller (1987) were present. Following Hieronimus, the condition of the habitat might be caused by an extremely dry spring in 1988.","<em>Allotoca goslinei </em>was moderately common until the year 2000 at the type location in the Río Potrero Grande. About that year, non native and invasive Green Swordtails (<em>Xiphophorus hellerii</em>) occurred<em>,</em>&#160;which invaded the type locality between 2000 and 2004 and increased in abundance while&#160;<em>Allotoca goslinei </em>decreased in <em></em>abundance.<em> </em>The Swordtail<em> </em>is thought to have displaced&#160;<em>Allotoca goslinei</em>&#160;through competition for prey (Arthington 1989), since the stream habitat quality did not noticeably change (Helmus&#160;<em>et al. </em>2009 unpublished data). Both species likely competed for the same sort of prey (Arthington 1989). <em><br/></em>","Deduced from inconclusive surveys conducted by Helmus<em> et al.</em> in 2005 and 2006 (Helmus <em>et al. </em>2009), this species is likely extinct in nature. This can be decided due to the fact that in 2000&#160;<em>Alloctoca goslinei</em>&#160;was still the dominant fish at the type locality (ca. 75% proportional abundance), but in extensive samplings of the river five, six years later, no more specimens were found. Based on this, the Banded Allotoca is feared to be Extinct in the Wild (Lyons 2011). A few captive strains do exist in Europe, Mexico and the United States, but all of them are low in numbers and not easy to maintain.",,"The Banded Allotoca was endemic to the Mexican federal state of Jalisco and historically only known from few collections in the headwaters of the Río Ameca, namely from the type location, the Río Grande&#160;(or Río, Arroyo, Potrero Grande about 10 km west of the town of Ameca), and from the Río Cuisillos (1 km east of the train station at Pacana near the Presa La Vega, where it coalesces with the Río Salado forming up the Río Ameca) (Smith and Miller 1987). From this distribution pattern, it can be inferred that it was more widespread in the headwaters of the Río Ameca drainage, but stayed either unnoticed or was very scarce. However, it was eliminated from the Río Ameca by the late 1990's, but remained moderately common in the Río Potrero Grande (Lyons 2011), until non-native swordtails (<em style="""">Xiphophorus hellerii</em>) invaded the river after 2000. Being the dominant species in 2000, with about 75% proportional abundance, the numbers of <em style="""">Allotoca goslinei</em> declined rapidly thereafter, and extensive samplings in 2005 and 2006 didn't show a single individual (Helmus&#160;<em style="""">et al. </em>2009). The last record dates back to 2004 (Lyons 2011).",The Banded Allotoca is not used for consumption and is not a target species for the ornamental fish trade.,Freshwater (=Inland waters),"The Banded Allotoca is included in the international ex-situ breeding project ""<em>Allotoca</em>-Mesa Central"" from the Austrian Association of Aquarists (ÖVVÖ) for all species of the genera<em> Allotoca</em> and <em>Neoophorus</em> (http://www.oevvoe.org/allotoca-mesa-central).&#160;Other conservation effort is a monitoring and ex-situ breeding project run by the Laboratorio de Biología Acuatica in Michoacan University, Morelia, Mexico<p><span lang=""EN-US""></p>No other conservation efforts for this species are known.&#160; <br/><em></em>",Neotropical,2004,false,false,Global
2443283,196286,Thomasettia seychellana,Extinct,,2014,2012-12-01 00:00:00 UTC,3.1,English,"This species was last collected in 1908 despite searches for it in suitable habitat and therefore, it is assessed as Extinct.",This species was recorded from woodland habitats.,This species was likely threatened by invasive plant species causing habitat deterioration.,This species is assumed to be extinct as it was last recorded in 1908 in small numbers. Since then no individuals have been located despite searches of suitable habitat.,,"This species was endemic to the Seychelles islands of Mahe and Silhouette where it was recorded in 1908. A record from Praslin island is uncertain. Historically, the species had an area of occupancy (AOO) of 30 km<sup>2</sup>&#160;and an extent of occurrence (EOO) of 300 km<sup>2</sup>.",,Terrestrial,No conservation actions were taken.,Afrotropical,1908,false,false,Global
2443290,196288,Pleorotus braueri,Extinct,,2014,2012-12-01 00:00:00 UTC,3.1,English,"This species has not been collected since 1894 despite searches for this and similar species in likely sites and therefore, it is assessed as Extinct.",There are no precise details on the habitats and ecology of this species. The only known specimen was probably collected from mountain forest habitat.,"This species occupied habitats that are deteriorating due to the effects of invasive plants, especially <em>Cinnamomum verum.</em>","This species has not been recorded since 1894 and therefore, is assumed to be extinct.",,This species was endemic to the Seychelles island of Mahe. It is known from a single specimen from an imprecise locality in 1894 and was probably collected from high forest.,,Terrestrial,No conservation actions were taken.,Afrotropical,1894,false,false,Global
2443297,196290,Stipax triangulifer,Extinct,,2014,2012-12-01 00:00:00 UTC,3.1,English,"This species was last recorded in 1894 despite searches for it and similar species in potentially suitable habitat and therefore, it is assessed as Extinct.",No details on the habitats and ecology of this species are known but it probably occurred in mountain forests.,This species was likely threatened by invasive plant species causing habitat deterioration.,This species is assumed to be extinct as it has not been recorded since 1894.,,This species was endemic to the Seychelles island of Mahe where it was collected once in 1894 from an imprecise locality. It probably occurred in mountain forests.,,Terrestrial,No conservation actions were taken.,Afrotropical,1894,false,false,Global
2612719,199821,Acalypha wilderi,Extinct,,2014,2011-03-29 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Acalypha wilderi</span> has not been reported from the wild since the 1929. Since the 1980s there have been several comprehensive surveys for it by island based botanists and naturalists (notably Mr G. McCormack), the current Cook Islands Flora writer (Mr W.R. Sykes of Landcare Research, New Zealand) and other botanists visiting the island (for example Dr(s) W.A. Whistler, P.J. de Lange, R.O. Gardner, T.J. Martin and Mr E.K. Cameron) over the last forty years. Given the survey effort, the lack of relatively intact potential habitat, and the island’s small size (67 km<sup>2</sup>) there now seems little doubt that <span style=""font-style: italic;"">A. wilderi</span> has gone extinct.","Very little is known about this species ecology; the few collections and notes available suggest it was a small shrub, rarely exceeding 2 m in height according to Wilder (1931), and a species of “open” forested habitats within an altitudinal range of 200-300 m asl (Wilder 1931, W.R. Sykes pers. comm. 2011).","<span style=""font-style: italic;"">Acalypha wilderi</span> was most probably a naturally uncommon species (see comments by Cheeseman 1903, Wilder 1931). It is only known from a handful of specimens collected between 1899 and 1929. These were all collected from forested habitats though there is conflict as to the exact type of habitat. Cheeseman (1903, p. 205) states “shaded woods near Arorangi” and Wilder (1931, p. 64) states “in semi-dry valleys, back of village of Avarua, altitude 200 to 300 m”). These are the only botanists to have provided any details as to the species likely habitat preferences. However, W.R. Sykes (pers. comm. 2011) is strongly of the opinion that this was a species of open forested habitats. Irrespective, the lowland and slope forests of Rarotonga, and especially those in the vicinity of Avarua and Arorangi are amongst the most heavily modified on the island as a result of deforestation for agriculture, roading, housing and plantation forestry. What few forested areas now remain are also seriously damaged and heavily infested with a range of weeds (ranging from small shrubs to trees and vines). Faced with these threats, it is hardly surprising that a small, apparently already uncommon shrub like <span style=""font-style: italic;"">A. wilderi </span>has vanished. As comprehensive surveys of the vegetation of Rarotonga over the last forty years have failed to rediscover this species it now seems very likely that it is extinct (see also comments by Whistler 1988). Nevertheless, as with any “extinct” plant there always remains a slim chance that it may yet be rediscovered somewhere else on Rarotonga though over time and with increasing survey effort this seems rather unlikely.",This species is extinct.,,"As far as is known <span style=""font-style: italic;"">A. wilderi</span> was only ever known from forested habitats on the northern (Avarua) and western (Arorangi) sides of Rarotonga in the Cook Islands (Cheeseman 1903, Wilder 1931) within an altitudinal range of 200-300 m asl.",This species is extinct.,Terrestrial,This species is thought to be extinct.,Oceanian,1929,false,false,Global
2706765,201472,Eucarlia alluaudi,Extinct,,2014,2012-11-01 00:00:00 UTC,3.1,English,This species is assessed as Extinct. It was restricted to coastal woodland on Marianne island where it was last recorded in 1892. The island is heavily degraded as a result of almost complete clearance in the early 1900s and subsequent abandonment of the coconut placation. Coastal woodland on other islands has also been reduced to small and degraded fragments and searches of these have failed to locate the species.,This species was historically found in coastal woodland.,"The species is now extinct but it was threatened by habitat deterioration due to the effects of invasive plant species, mainly as a result of abandonment of coconut plantations on Marianne island.",This species is extinct as it has not been recorded since 1892 despite subsequent searches of appropriate habitat.,,"This species was endemic to the Seychelles island of Marianne, where it was last recorded in 1892.",,Terrestrial,No conservation actions were taken before the extinction of this species.,Afrotropical,1892,false,false,Global
